cohort_type,metric,cohort,cohort_size,months_since,users,rate_pct
첫 등장 월,활동,2019-10,8074,0,8074,100.0
첫 등장 월,활동,2019-10,8074,1,1133,14.03
첫 등장 월,활동,2019-10,8074,2,786,9.73
첫 등장 월,활동,2019-10,8074,3,641,7.94
첫 등장 월,활동,2019-10,8074,4,551,6.82
첫 등장 월,활동,2019-11,6249,0,6249,100.0
첫 등장 월,활동,2019-11,6249,1,637,10.19
첫 등장 월,활동,2019-11,6249,2,444,7.11
첫 등장 월,활동,2019-11,6249,3,326,5.22
첫 등장 월,활동,2019-12,5921,0,5921,100.0
첫 등장 월,활동,2019-12,5921,1,542,9.15
첫 등장 월,활동,2019-12,5921,2,318,5.37
첫 등장 월,활동,2020-01,6733,0,6733,100.0
첫 등장 월,활동,2020-01,6733,1,688,10.22
첫 등장 월,활동,2020-02,5808,0,5808,100.0
첫 등장 월,구매,2019-10,8074,0,536,6.64
첫 등장 월,구매,2019-10,8074,1,251,3.11
첫 등장 월,구매,2019-10,8074,2,152,1.88
첫 등장 월,구매,2019-10,8074,3,156,1.93
첫 등장 월,구매,2019-10,8074,4,132,1.63
첫 등장 월,구매,2019-11,6249,0,380,6.08
첫 등장 월,구매,2019-11,6249,1,75,1.2
첫 등장 월,구매,2019-11,6249,2,66,1.06
첫 등장 월,구매,2019-11,6249,3,50,0.8
첫 등장 월,구매,2019-12,5921,0,314,5.3
첫 등장 월,구매,2019-12,5921,1,63,1.06
첫 등장 월,구매,2019-12,5921,2,31,0.52
첫 등장 월,구매,2020-01,6733,0,305,4.53
첫 등장 월,구매,2020-01,6733,1,67,1.0
첫 등장 월,구매,2020-02,5808,0,253,4.36
첫 구매 월,재구매,2019-10,536,0,536,100.0
첫 구매 월,재구매,2019-10,536,1,107,19.96
첫 구매 월,재구매,2019-10,536,2,65,12.13
첫 구매 월,재구매,2019-10,536,3,80,14.93
첫 구매 월,재구매,2019-10,536,4,65,12.13
첫 구매 월,재구매,2019-11,524,0,524,100.0
첫 구매 월,재구매,2019-11,524,1,53,10.11
첫 구매 월,재구매,2019-11,524,2,55,10.5
첫 구매 월,재구매,2019-11,524,3,48,9.16
첫 구매 월,재구매,2019-12,423,0,423,100.0
첫 구매 월,재구매,2019-12,423,1,39,9.22
첫 구매 월,재구매,2019-12,423,2,29,6.86
첫 구매 월,재구매,2020-01,416,0,416,100.0
첫 구매 월,재구매,2020-01,416,1,33,7.93
첫 구매 월,재구매,2020-02,358,0,358,100.0
